MolecularWeight,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,AromaticRings,Toxicity
399.67141530112326,1.4872325875384278,54.09519185105198,1,5,4,1,1
336.1735698828815,2.2832219939267233,79.06389533182748,1,7,6,3,1
414.76885381006923,1.3113701185000581,80.5405061613334,2,7,4,1,1
502.30298564080255,2.0380577055414397,94.17891037530217,1,4,8,0,1
326.5846625276664,-0.3404220004306784,38.99424910157521,4,3,6,1,1
326.58630430508197,2.8199405610594077,97.77701821541991,0,3,3,1,1
507.92128155073914,2.5018082130433363,-1.1317489480832563,3,5,4,1,1
426.7434729152909,1.274367053397714,61.10346342908569,3,7,2,0,1
303.05256140650476,3.4888685026486077,65.35178472645366,1,2,4,1,1
404.25600435859644,3.9063552064398377,98.99980478213715,2,5,4,0,1
303.65823071875377,0.08866020344653869,80.67892558030607,1,7,3,0,1
303.4270246429743,1.3559128321506786,37.8331083843114,0,4,3,3,1
374.1962271566034,1.3462864753190527,50.450206225489545,0,2,2,2,1
158.67197553422022,1.090145348336703,85.96040028642221,1,5,5,1,1
177.50821674869673,3.744212262897623,77.62797974406331,1,5,5,1,1
293.77124707590275,2.2092607918407947,62.626276710927606,0,3,7,3,1
248.71688796655764,2.103227738034084,65.57498631464063,2,8,7,2,1
381.4247332595274,-0.5057935466101302,100.88503991477867,1,2,0,1,1
259.1975924478789,3.4531270453138396,64.46922281392357,0,4,7,2,1
208.76962986647086,0.6411124077197912,77.3572626791278,0,4,5,1,1
496.56487689215544,2.5898989453994923,145.0980976424163,0,6,2,3,1
327.4223699513464,2.9160654069372876,37.28952089348231,4,4,8,3,1
356.7528204687924,4.540987893757976,24.444718052760244,2,1,3,1,1
207.5251813786543,0.5367694013213318,103.5076899439582,3,2,2,1,1
295.5617275474817,-2.029268233731238,59.6407081611769,1,6,7,1,1
361.0922589709866,2.7757743171305425,70.45287416772139,2,5,3,2,1
234.90064225776973,5.200766772266281,56.56530865606658,3,8,4,3,1
387.5698018345672,4.358419529409156,72.20599577697462,3,4,6,0,1
289.9361310081195,2.8144891229119384,127.95614336289023,0,4,7,0,1
320.8306250206723,1.762545721551929,104.06385375854359,0,4,3,1,1
289.8293387770603,3.7106838949559657,105.86670535660932,3,3,4,0,1
535.2278184508938,1.039680700443297,37.513188326220636,0,3,6,3,1
348.6502775262066,3.2145366540343288,45.46538790341393,2,7,3,0,1
244.22890710440998,3.25820523874994,-5.172359784562815,2,3,5,5,1
432.2544912103189,4.09031486124832,55.71857536751738,2,3,4,1,1
227.91563500289777,6.639490058366617,108.70109559156975,3,6,5,1,1
370.8863595004755,3.0886239507681506,95.50839547245113,1,3,6,1,1
154.03298761202245,1.7365545614387519,73.35460211143628,3,3,10,1,1
217.18139511015696,2.4616385317120084,79.33099148845841,0,2,5,2,1
369.68612358691234,-0.15361385733367738,59.33343372273784,0,5,4,1,1
423.84665799954104,1.4579303033664126,86.14276647205352,3,5,5,5,1
367.1368281189971,1.886076342830344,102.97634838441844,0,6,5,1,1
338.4351717611759,1.7138674030981114,31.52339637768582,1,3,9,2,1
319.8896304410711,2.7285323080505828,88.98943063512044,1,6,3,0,1
202.14780096325725,1.2663701014266993,107.97304612864002,1,2,5,1,1
278.0155791605291,4.181546000986707,67.54699133109891,3,4,5,3,1
303.93612290402126,2.5003105973772954,101.02101836361751,1,9,4,1,1
455.71222262189156,2.4860495182920785,164.4396333341766,2,4,5,1,1
384.3618289568461,2.0081579252306234,76.86971621039324,0,4,6,0,1
173.6959844637266,2.7327860257884686,91.79921150015971,2,1,3,0,1
382.40839693947953,3.737647397001452,57.858287490158254,1,0,5,0,1
311.49177195836836,1.1993046764336495,85.43753487806151,0,4,3,3,1
282.30779996940413,1.512825266387115,93.80814874946911,1,2,4,1,1
411.1676288840868,2.044410956835003,85.84527020810414,2,4,9,0,1
453.0999522495951,0.48119361479017764,49.4091404087343,1,2,3,1,1
443.12801191161986,1.2711132104177534,86.19085313976352,1,3,4,1,1
266.07824767773616,1.7856686896830114,123.86587816152911,1,4,2,3,1
319.07876241487855,3.8115837710690914,93.45907293543581,2,4,6,1,1
383.1263431403564,2.8938419935028876,108.85961567215523,2,4,3,0,1
447.5545127122359,2.7903848670513165,72.88964089962117,0,4,7,1,1
302.082576215471,3.7763469432519585,102.49700718271131,1,4,5,2,1
331.4341023336183,2.293942317400905,88.37803514649578,1,6,2,2,1
239.36650259939717,3.0856972748933345,51.47267810938304,1,5,4,2,1
230.37933759193294,2.3451673706012555,89.55563014396623,2,4,2,1,1
431.2525822394198,2.8980435240994424,50.249100096790684,1,6,2,1,1
485.6240028570823,1.625862013582627,61.01359175345624,2,2,6,1,1
342.7989878419666,-1.1582257374146439,85.67984921877122,1,6,6,1,1
450.35328978920245,2.298581256720544,88.91732820140372,1,4,5,1,1
386.1636025047634,4.63412220414991,44.32302604768613,3,2,4,1,1
285.4880245394876,3.8893231033623885,111.61957313548629,1,10,4,1,1
386.1395605508414,3.948096226886756,97.16018834901419,0,4,2,0,1
503.8036566465969,4.354196082709327,58.85814693167349,3,5,5,2,1
346.41739608900485,2.6329863864421563,33.87245610652474,1,6,9,2,1
506.4643655814006,2.7959735611083936,75.65286262755706,1,5,3,2,1
88.02548959102558,1.5735221568484747,66.6216885841652,2,2,3,2,0
432.19025043752237,2.0258907159594255,83.39421371159068,1,1,3,2,1
358.7047068238171,3.4236567246567122,69.106500165333,2,4,5,1,1
320.09926495341324,4.305826655753224,19.776294177649703,2,4,7,1,1
359.17607765355024,2.2908305864785006,68.34959185096525,0,7,5,2,1
151.2431085399107,1.8247161027228826,70.83142666795061,1,2,6,0,1
328.03281121624883,2.500791938284896,99.00983074322176,1,1,1,1,1
385.71125715117466,3.4018101233936724,59.05400976166851,0,6,2,1,1
497.78940447415164,0.33421777579968737,130.360240201177,0,3,5,1,1
298.1729781726353,-0.9442714297058572,22.650783480447288,2,1,6,2,1
269.1506397106812,1.6741947257626246,119.33502493407873,0,3,6,3,1
299.8242956415463,0.6689313611287622,73.27043087365686,2,4,9,3,1
